date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:31:25	31314/31314	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:52%20GMT	https://templates.envytheme.com/erudex/default/index.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/index.html	(from )
02:31:25	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Oct%202021%2020:31:26%20GMT	https://templates.envytheme.com/robots.txt		(from )
02:31:25	5235/5235	---M--	200	added ('OK')	image/png	etag:%2261222b31-1943%22	https://templates.envytheme.com/erudex/default/assets/images/favicon.png	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/images/favicon.png	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:25	162668/162668	---MCZ	200	added ('OK')	text/css	etag:W/%2261222b22-27b6c%22	https://templates.envytheme.com/erudex/default/assets/css/bootstrap.min.css	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/css/bootstrap.min.css	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:26	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%2261222b21-11846%22	https://templates.envytheme.com/erudex/default/assets/css/animate.min.css	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/css/animate.min.css	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:26	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%2261222b22-d17%22	https://templates.envytheme.com/erudex/default/assets/css/owl.carousel.min.css	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/css/owl.carousel.min.css	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:26	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%2261222b23-3f5%22	https://templates.envytheme.com/erudex/default/assets/css/owl.theme.default.min.css	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/css/owl.theme.default.min.css	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:26	7224/7224	---MCZ	200	added ('OK')	text/css	etag:W/%2261222b22-1c38%22	https://templates.envytheme.com/erudex/default/assets/css/meanmenu.min.css	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/css/meanmenu.min.css	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:26	5259/5259	---MCZ	200	added ('OK')	text/css	etag:W/%2261222b22-148b%22	https://templates.envytheme.com/erudex/default/assets/css/magnific-popup.min.css	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/css/magnific-popup.min.css	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:27	92214/92214	---MCZ	200	added ('OK')	text/css	etag:W/%2261222b22-16836%22	https://templates.envytheme.com/erudex/default/assets/css/icofont.min.css	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/css/icofont.min.css	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:27	2963/2963	---MCZ	200	added ('OK')	text/css	etag:W/%2261222b22-d9b%22	https://templates.envytheme.com/erudex/default/assets/css/flaticon.css	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/css/flaticon.css	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:27	3076/3076	---MCZ	200	added ('OK')	text/css	etag:W/%2261222b22-fa7%22	https://templates.envytheme.com/erudex/default/assets/css/nice-select.css	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/css/nice-select.css	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:27	95953/95953	---MCZ	200	added ('OK')	text/css	etag:W/%2261222b23-1d38b%22	https://templates.envytheme.com/erudex/default/assets/css/style.css	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/css/style.css	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:27	19512/19512	---MCZ	200	added ('OK')	text/css	etag:W/%2261222b23-684e%22	https://templates.envytheme.com/erudex/default/assets/css/responsive.css	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/css/responsive.css	(from https://templates.envytheme.com/erudex/default/index.html)
